id	reason	timestamp	page_id	assessment_phase_in_session_id	session_id
1749153	scroll	2023-12-28 21:32:46.907000 +00:00	47227	6251	11501
1749154	scroll	2023-12-28 21:32:46.778000 +00:00	47227	6251	11501
1749155	scroll	2023-12-28 21:32:46.935000 +00:00	47227	6251	11501
1749156	scroll	2023-12-28 21:32:46.997000 +00:00	47227	6251	11501
1749157	scroll	2023-12-28 21:32:46.873000 +00:00	47227	6251	11501
1749158	scroll	2023-12-28 21:32:48.029000 +00:00	47227	6251	11501
1749159	scroll	2023-12-28 21:32:48.096000 +00:00	47227	6251	11501
1749160	scroll	2023-12-28 21:32:48.185000 +00:00	47227	6251	11501
1749161	scroll	2023-12-28 21:32:48.157000 +00:00	47227	6251	11501
1749162	scroll	2023-12-28 21:32:48.219000 +00:00	47227	6251	11501
1749163	scroll	2023-12-28 21:32:48.060000 +00:00	47227	6251	11501
1749164	scroll	2023-12-28 21:32:49.060000 +00:00	47227	6251	11501
1749165	scroll	2023-12-28 21:32:49.221000 +00:00	47227	6251	11501
1749166	scroll	2023-12-28 21:32:49.310000 +00:00	47227	6251	11501
1749167	scroll	2023-12-28 21:32:49.091000 +00:00	47227	6251	11501
1749168	scroll	2023-12-28 21:32:49.184000 +00:00	47227	6251	11501
864675	scroll	2023-12-16 17:04:54.966000 +00:00	24532	2723	7081
1749169	scroll	2023-12-28 21:32:49.028000 +00:00	47227	6251	11501
1749171	tab_activated	2023-12-28 21:33:04.793000 +00:00	47227	6251	11501
1749173	tab_activated	2023-12-28 21:33:18.235000 +00:00	47227	6251	11501
1749175	tab_activated	2023-12-28 21:33:30.758000 +00:00	47227	6251	11501
1749177	tab_activated	2023-12-28 21:33:38.721000 +00:00	47227	6251	11501
1749179	tab_activated	2023-12-28 21:34:01.450000 +00:00	47227	6251	11501
864676	scroll	2023-12-16 17:04:55.089000 +00:00	24532	2723	7081
1749180	scroll	2023-12-28 21:34:03.811000 +00:00	47227	6251	11501
1749181	scroll	2023-12-28 21:34:05.810000 +00:00	47227	6251	11501
864677	scroll	2023-12-16 17:04:55.151000 +00:00	24532	2723	7081
1749182	scroll	2023-12-28 21:34:06.006000 +00:00	47227	6251	11501
864678	scroll	2023-12-16 17:04:55.217000 +00:00	24532	2723	7081
1749183	scroll	2023-12-28 21:34:05.971000 +00:00	47227	6251	11501
864679	scroll	2023-12-16 17:04:55.318000 +00:00	24532	2723	7081
864680	scroll	2023-12-16 17:04:55.402000 +00:00	24532	2723	7081
1749184	scroll	2023-12-28 21:34:06.031000 +00:00	47227	6251	11501
1749185	scroll	2023-12-28 21:34:06.092000 +00:00	47227	6251	11501
1749186	scroll	2023-12-28 21:34:05.842000 +00:00	47227	6251	11501
832555	scroll	2023-12-15 22:22:39.880000 +00:00	24111	2701	7053
1749187	scroll	2023-12-28 21:34:05.877000 +00:00	47227	6251	11501
1749188	scroll	2023-12-28 21:34:05.909000 +00:00	47227	6251	11501
832556	scroll	2023-12-15 22:22:40.012000 +00:00	24111	2701	7053
832557	scroll	2023-12-15 22:22:40.287000 +00:00	24111	2701	7053
1749189	scroll	2023-12-28 21:34:09.092000 +00:00	47227	6251	11501
1749190	scroll	2023-12-28 21:34:09.345000 +00:00	47227	6251	11501
832558	scroll	2023-12-15 22:22:40.352000 +00:00	24111	2701	7053
1749191	scroll	2023-12-28 21:34:09.282000 +00:00	47227	6251	11501
864681	scroll	2023-12-16 17:04:55.433000 +00:00	24532	2723	7081
864682	scroll	2023-12-16 17:04:55.529000 +00:00	24532	2723	7081
864683	scroll	2023-12-16 17:04:55.656000 +00:00	24532	2723	7081
1749192	scroll	2023-12-28 21:34:09.123000 +00:00	47227	6251	11501
864684	scroll	2023-12-16 17:04:55.779000 +00:00	24532	2723	7081
1749193	scroll	2023-12-28 21:34:09.188000 +00:00	47227	6251	11501
864685	scroll	2023-12-16 17:04:55.902000 +00:00	24532	2723	7081
1749194	scroll	2023-12-28 21:34:09.157000 +00:00	47227	6251	11501
832559	scroll	2023-12-15 22:22:40.756000 +00:00	24111	2701	7053
1749195	scroll	2023-12-28 21:34:09.222000 +00:00	47227	6251	11501
